"taxon"	"run"	"min_match"	"min_overlap"	"read_ratio_type"	"max_read_ratio"	"require_corr"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Psocodea"	1	84	0.9	"max"	1	FALSE	131	30	67	2	15	7	0.0298507462686567	0.466666666666667
"Psocodea"	2	84	0.9	"mean"	1	FALSE	131	30	67	2	15	7	0.0298507462686567	0.466666666666667
"Symphypleona"	1	84	0.9	"max"	1	FALSE	239	104	70	6	24	8	0.0857142857142857	0.333333333333333
"Symphypleona"	2	84	0.9	"mean"	1	FALSE	239	114	70	8	24	6	0.114285714285714	0.25
"Trichoptera"	1	84	0.9	"max"	1	FALSE	470	36	157	2	5	0	0.0127388535031847	0
"Trichoptera"	2	84	0.9	"mean"	1	FALSE	470	38	157	3	5	0	0.0191082802547771	0
"Mecoptera"	1	84	0.9	"max"	1	FALSE	10	4	5	1	0	0	0.2	NA
"Mecoptera"	2	84	0.9	"mean"	1	FALSE	10	4	5	1	0	0	0.2	NA
"Raphidioptera"	1	84	0.9	"max"	1	FALSE	5	0	3	0	0	0	0	NA
"Raphidioptera"	2	84	0.9	"mean"	1	FALSE	5	0	3	0	0	0	0	NA
"Thysanoptera"	1	84	0.9	"max"	1	FALSE	80	1	57	0	3	2	0	0.666666666666667
"Thysanoptera"	2	84	0.9	"mean"	1	FALSE	80	1	57	0	3	2	0	0.666666666666667
"Psocoptera"	1	84	0.9	"max"	1	FALSE	26	1	0	0	0	0	NA	NA
"Psocoptera"	2	84	0.9	"mean"	1	FALSE	26	1	0	0	0	0	NA	NA
"Neuroptera"	1	84	0.9	"max"	1	FALSE	159	23	58	3	4	1	0.0517241379310345	0.25
"Neuroptera"	2	84	0.9	"mean"	1	FALSE	159	24	58	3	4	0	0.0517241379310345	0
"Ephemeroptera"	1	84	0.9	"max"	1	FALSE	51	3	39	1	2	0	0.0256410256410256	0
"Ephemeroptera"	2	84	0.9	"mean"	1	FALSE	51	3	39	1	2	0	0.0256410256410256	0
"Odonata"	1	84	0.9	"max"	1	FALSE	136	17	20	1	3	0	0.05	0
"Odonata"	2	84	0.9	"mean"	1	FALSE	136	17	20	1	3	0	0.05	0
"Megaloptera"	1	84	0.9	"max"	1	FALSE	4	2	1	0	1	0	0	0
"Megaloptera"	2	84	0.9	"mean"	1	FALSE	4	2	1	0	1	0	0	0
"Poduromorpha"	1	84	0.9	"max"	1	FALSE	432	224	86	7	40	14	0.0813953488372093	0.35
"Poduromorpha"	2	84	0.9	"mean"	1	FALSE	432	241	86	9	40	14	0.104651162790698	0.35
"Strepsiptera"	1	84	0.9	"max"	1	FALSE	8	0	7	0	0	0	0	NA
"Strepsiptera"	2	84	0.9	"mean"	1	FALSE	8	0	7	0	0	0	0	NA
"Siphonaptera"	1	84	0.9	"max"	1	FALSE	13	1	3	0	0	0	0	NA
