"taxon"	"run"	"echo_run"	"require_overlap"	"dist_type"	"dist_threshold"	"clusters"	"removed_clusters"	"unique_bins"	"removed_uniques"	"duplicate_bins"	"remaining_dups"	"false_pos"	"false_neg"
"Siphonaptera"	3	10	TRUE	"wdadn"	1.1	13	1	3	0	0	0	0	NA
"Siphonaptera"	4	10	TRUE	"dadn"	1.8	13	1	3	0	0	0	0	NA
"Siphonaptera"	5	27	TRUE	"wdadn"	1.1	13	1	3	0	0	0	0	NA
"Siphonaptera"	6	27	TRUE	"dadn"	1.8	13	1	3	0	0	0	0	NA
"Siphonaptera"	7	28	TRUE	"wdadn"	1.1	13	1	3	0	0	0	0	NA
"Siphonaptera"	8	28	TRUE	"dadn"	1.8	13	1	3	0	0	0	0	NA
"Siphonaptera"	9	9	FALSE	"wdadn"	3	13	1	3	0	0	0	0	NA
"Siphonaptera"	10	10	FALSE	"wdadn"	3	13	1	3	0	0	0	0	NA
"Siphonaptera"	11	27	FALSE	"wdadn"	3	13	1	3	0	0	0	0	NA
"Siphonaptera"	12	28	FALSE	"wdadn"	3	13	1	3	0	0	0	0	NA
"Zygentoma"	1	9	TRUE	"wdadn"	1.1	14	10	1	0	1	0	0	0
"Zygentoma"	2	9	TRUE	"dadn"	1.8	14	10	1	0	1	0	0	0
"Zygentoma"	3	10	TRUE	"wdadn"	1.1	14	10	1	0	1	0	0	0
"Zygentoma"	4	10	TRUE	"dadn"	1.8	14	10	1	0	1	0	0	0
"Zygentoma"	5	27	TRUE	"wdadn"	1.1	14	10	1	0	1	0	0	0
"Zygentoma"	6	27	TRUE	"dadn"	1.8	14	10	1	0	1	0	0	0
"Zygentoma"	7	28	TRUE	"wdadn"	1.1	14	10	1	0	1	0	0	0
"Zygentoma"	8	28	TRUE	"dadn"	1.8	14	10	1	0	1	0	0	0
"Zygentoma"	9	9	FALSE	"wdadn"	3	14	10	1	0	1	0	0	0
"Zygentoma"	10	10	FALSE	"wdadn"	3	14	10	1	0	1	0	0	0
"Zygentoma"	11	27	FALSE	"wdadn"	3	14	10	1	0	1	0	0	0
"Zygentoma"	12	28	FALSE	"wdadn"	3	14	10	1	0	1	0	0	0
"Neelipleona"	1	9	TRUE	"wdadn"	1.1	22	6	9	0	7	5	0	0.714285714285714
"Neelipleona"	2	9	TRUE	"dadn"	1.8	22	6	9	0	7	5	0	0.714285714285714
"Neelipleona"	3	10	TRUE	"wdadn"	1.1	22	8	9	0	7	3	0	0.428571428571429
"Neelipleona"	4	10	TRUE	"dadn"	1.8	22	8	9	0	7	3	0	0.428571428571429
"Neelipleona"	5	27	TRUE	"wdadn"	1.1	22	5	9	0	7	5	0	0.714285714285714
"Neelipleona"	6	27	TRUE	"dadn"	1.8	22	5	9	0	7	5	0	0.714285714285714
"Neelipleona"	7	28	TRUE	"wdadn"	1.1	22	5	9	0	7	5	0	0.714285714285714
"Neelipleona"	8	28	TRUE	"dadn"	1.8	22	5	9	0	7	5	0	0.714285714285714
"Neelipleona"	9	9	FALSE	"wdadn"	3	22	6	9	0	7	5	0	0.714285714285714
"Neelipleona"	10	10	FALSE	"wdadn"	3	22	8	9	0	7	3	0	0.428571428571429
"Neelipleona"	11	27	FALSE	"wdadn"	3	22	5	9	0	7	5	0	0.714285714285714
"Neelipleona"	12	28	FALSE	"wdadn"	3	22	5	9	0	7	5	0	0.714285714285714
"Zoraptera"	1	9	TRUE	"wdadn"	1.1	7	0	0	0	0	0	NA	NA
"Zoraptera"	2	9	TRUE	"dadn"	1.8	7	0	0	0	0	0	NA	NA
"Zoraptera"	3	10	TRUE	"wdadn"	1.1	7	0	0	0	0	0	NA	NA
"Zoraptera"	4	10	TRUE	"dadn"	1.8	7	0	0	0	0	0	NA	NA
"Zoraptera"	5	27	TRUE	"wdadn"	1.1	7	0	0	0	0	0	NA	NA
"Zoraptera"	6	27	TRUE	"dadn"	1.8	7	0	0	0	0	0	NA	NA
"Zoraptera"	7	28	TRUE	"wdadn"	1.1	7	0	0	0	0	0	NA	NA
"Zoraptera"	8	28	TRUE	"dadn"	1.8	7	0	0	0	0	0	NA	NA
"Zoraptera"	9	9	FALSE	"wdadn"	3	7	0	0	0	0	0	NA	NA
"Zoraptera"	10	10	FALSE	"wdadn"	3	7	0	0	0	0	0	NA	NA
"Zoraptera"	11	27	FALSE	"wdadn"	3	7	0	0	0	0	0	NA	NA
"Zoraptera"	12	28	FALSE	"wdadn"	3	7	0	0	0	0	0	NA	NA
"Phthiraptera"	1	9	TRUE	"wdadn"	1.1	3	0	0	0	0	0	NA	NA
